Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
01070,648,52,60000,41123,44,6.790123457
01071,1318,45.6,75592,34003,75,5.690440061
01072,1478,47.3,80625,39439,129,8.728010825
01073,6144,47.9,104577,47307,152,2.473958333
01074,411,24.9,86414,20074,71,17.27493917
01075,17703,39.1,69346,35315,1462,8.258487262
01077,9720,47.3,73776,38714,741,7.62345679
01079,781,45.4,31594,30202,0,0
01080,2709,32.6,65741,26380,674,24.88002953
01081,1883,42.6,69250,31950,106,5.629314923
01082,10580,43.6,56637,30819,1333,12.59924386
01083,3094,38,60323,25875,405,13.08985133
01084,168,51.5,75938,36392,12,7.142857143
01085,41780,39.9,68042,33303,2771,6.632359981
01086,363,19.2,-666666666,1864,0,0
01088,509,35.4,54286,29819,91,17.87819253
01089,28609,41,53053,34222,3227,11.27966724
01092,1278,33.1,108725,40646,71,5.555555556
01093,313,52.3,91563,52854,25,7.987220447
01094,387,61.2,-666666666,25760,33,8.527131783
01095,14728,46.3,108965,49044,394,2.675176534
01096,2443,47.8,82574,42844,191,7.818256242
01097,56,17.3,-666666666,12055,40,71.42857143
01098,1263,51.6,80192,43675,78,6.175771971
01103,2332,40,26135,25347,992,42.53859348
01104,23740,35.4,34937,21765,5596,23.57203033
01105,11841,31.4,19427,14174,5844,49.3539397
01106,15987,44.8,121141,57925,337,2.10796272
01107,11562,26.9,26258,15056,4985,43.11537796
01108,27054,33.1,43235,22090,7201,26.6171361
01109,30383,28.8,35339,16408,7559,24.8790442
01118,14830,37.4,63571,30991,2505,16.89143628
01119,13681,36.6,46985,24000,2366,17.29405745
01128,2541,49.6,61659,36658,167,6.572215663
01129,6941,40.6,58621,31146,1029,14.82495318
01151,9032,33.3,43128,21099,1858,20.57130204
01199,0,-666666666,-666666666,-666666666,0,
01201,44458,44.7,52223,32549,5706,12.83458545
01220,8179,44.6,53223,32425,913,11.16273383
01222,807,44.3,58646,33494,87,10.78066914
01223,2443,52.2,75250,40917,156,6.385591486
01224,125,50,77717,65415,29,23.2
01225,3105,51.1,71081,37241,224,7.214170692
01226,6769,50.7,68915,41140,320,4.72743389
01229,91,63.5,-666666666,22895,0,0
01230,8525,49.6,69328,37722,569,6.674486804
01235,2567,51.1,63947,35869,286,11.14141021
01236,1311,41.8,64048,43077,53,4.042715484
01237,2488,51.2,67625,33752,202,8.118971061
01238,5814,46.6,73333,36879,304,5.22875817
01240,4453,59.1,68393,53085,220,4.940489558
01242,471,32,-666666666,28795,4,0.8492569
01243,268,61.2,49643,42265,11,4.104477612
01244,132,62.1,51538,30270,0,0
01245,836,56.8,80417,59396,43,5.14354067
01247,15466,43.2,44721,26466,2540,16.42312169
01253,769,59.7,85417,53816,32,4.161248375
01254,902,59.3,91484,73078,54,5.986696231
01255,891,48.6,71023,36236,35,3.928170595
01256,680,52.3,58125,34177,47,6.911764706
01257,2017,53.2,100909,57523,167,8.279623203
01258,488,50.1,67500,36030,39,7.991803279
01259,540,59.4,68438,59950,48,8.888888889
01260,427,44.7,118508,37690,32,7.494145199
01262,1005,59.4,29659,36541,200,19.90049751
01264,206,55.5,71250,50757,42,20.38834951
01266,1295,55.9,73906,48268,70,5.405405405
01267,7753,31.2,83939,33614,561,7.235908681
01270,796,51.3,85417,47879,50,6.281407035
01301,17617,43.8,50889,32557,1920,10.89856389
01330,1276,55.2,70761,45504,127,9.952978056
01331,13486,43.8,57987,28184,1735,12.86519353
01337,2532,50.5,66771,36337,198,7.819905213
01338,113,60.4,60347,28024,17,15.04424779
01339,1371,52.2,64813,35278,141,10.28446389
01340,1779,52.8,62500,34087,204,11.46711636
01341,1929,51.1,96563,55329,36,1.866251944
01342,1259,41.7,85341,30336,253,20.09531374
01343,78,43,71625,25935,4,5.128205128
01344,1380,45.5,62727,28845,159,11.52173913
01346,471,53,69375,32870,15,3.184713376
01347,154,29,53846,34416,30,19.48051948
01349,1391,38.2,65536,27229,52,3.738317757
01350,87,57.1,28750,26093,13,14.94252874
01351,2114,48.3,81042,39893,159,7.52128666
01354,1596,48.8,67917,40218,137,8.5839599
01355,931,53.9,65875,36531,50,5.37056928
01360,2981,48.3,75875,39819,130,4.3609527
01364,7729,45.8,50890,27759,764,9.884849269
01366,1188,51.9,71484,38959,48,4.04040404
01367,639,39.2,63750,28031,108,16.90140845
01368,1377,50.7,76250,35816,108,7.843137255
01370,3852,52.5,62966,41266,395,10.25441329
01373,4854,50.7,78382,48051,200,4.120313144
01375,3647,34.1,55625,38897,471,12.91472443
01376,5013,45.7,40913,26967,689,13.74426491
01378,792,54.8,59375,30445,55,6.944444444
01379,829,50.3,53750,31259,100,12.06272618
01420,40702,35.5,57207,27007,6096,14.977151
01430,6297,39.2,95037,39119,108,1.71510243
01431,3220,45.9,97958,40389,151,4.689440994
01432,7699,41.7,94375,47324,514,6.676191713
01434,1969,43.1,92426,24118,186,9.446419502
01436,3374,43.2,73169,37038,127,3.764078245
01438,694,30.8,119808,33770,32,4.610951009
